Order,Keywords,StudyType,Replicates,DistType,DistMechanism,DistShape,Lat,Long,Country,Sal_Low,Sal_High,Sal_Mean,Depth_m,Depth_ShallowDeep,Depth_Cat,StudyDuration_months,DistMonth,DistMonth_num,MeadowSizeStart_m2,MeadowSizeEnd_m2,DisturbanceArea_m2,DisturbancePerimeter_m,Perc_AboveGroundReduction,LagTime,Recovery_YorN,Recovery_EstOrExact,Recovery_months,Perc_RecoveryDuringStudy,Recovery_Trajectory,Recovery_Mechanism,Mixed_Mono,NumSpecies,Species
2,asexual reproduction; climate change; gap; Halophila nipponica; recolonization; Zostera marina,Experiment,4,Physical,Anchoring and boat propeller scarring,Square,34.728,128.035,South Korea,NA,NA,NA,-2.5 to -3,Shallow,Subtidal,10.1,September,9,NA,NA,0.25,2,100,0,Yes,Exact,9,100,Linear,Clonal,Mixed,2,"Halophila nipponica, Zostera marina"
3,seascape; seagrasses; dynamics; anthropogenic impacts; management; conservation,Observation,3,Physical,Anchoring (anthropogenic) and Sand Patches (natural),Irregular,42.562,8.781,France,NA,NA,NA,-10,Shallow,Subtidal,36,NA,NA,NA,NA,1,NA,NA,NA,No,Estimated,NA,NA,NA,NA,Mono,1,Posidonia oceanica
3,,Observation,3,Physical,Anchoring (anthropogenic) and Sand Patches (natural),Irregular,42.562,8.781,France,NA,NA,NA,-15,Deep,Subtidal,36,NA,NA,NA,NA,0.83,NA,NA,NA,No,Estimated,324,NA,NA,NA,Mono,1,Posidonia oceanica
3,,Observation,3,Physical,Anchoring (anthropogenic) and Sand Patches (natural),Irregular,42.562,8.781,France,NA,NA,NA,-20,Deep,Subtidal,36,NA,NA,NA,NA,90.6,NA,NA,NA,No,Estimated,720,NA,NA,NA,Mono,1,Posidonia oceanica
6,,Experiment,27,Natural,Natural mass mortalities,Square,19.871,-16.297,Mauritania,NA,NA,NA,NA,NA,Intertidal,36,January,1,500000000,500000000,1,4,100,0,Yes,Exact,16,100,Linear,Clonal,Mixed,3,"Zostera noltii, Halodule wrightii, Cymodocea nodosa"
6,,Experiment,3,Natural,Natural mass mortalities,Square,19.871,-16.297,Mauritania,NA,NA,NA,NA,NA,Intertidal,36,January,1,500000000,500000000,9,12,100,0,No,Estimated,29,80,Linear,Clonal,Mixed,3,"Zostera noltii, Halodule wrightii, Cymodocea nodosa"
6,,Experiment,27,Natural,Natural mass mortalities,Square,19.871,-16.297,Mauritania,NA,NA,NA,NA,NA,Intertidal,36,January,1,500000000,500000000,1,4,100,0,No,Estimated,33,75,Linear,Clonal,Mixed,3,"Zostera noltii, Halodule wrightii, Cymodocea nodosa"
6,,Experiment,3,Natural,Natural mass mortalities,Square,19.871,-16.297,Mauritania,NA,NA,NA,NA,NA,Intertidal,36,January,1,500000000,500000000,9,12,100,0,No,Estimated,60,40,Linear,Clonal,Mixed,3,"Zostera noltii, Halodule wrightii, Cymodocea nodosa"
7,,Observation,NA,Chemical,"Unexplained, thought to be eutrophication/turbidity",Irregular,-36.846,174.717,New Zealand,NA,NA,NA,NA,NA,Intertidal,192,NA,NA,0,435100,NA,NA,100,NA,NA,NA,NA,NA,Nonlinear,NA,Mono,1,Zostera muelleri
8,Physical disturbance; seagrass; resilience; Zostera marina,Observation,3,Physical,Shellfishing - Clams,Irregular,42.203,-8.798,Spain,NA,NA,NA,-1 to -5,Shallow,Subtidal,4.1,October to April,10,3000,3600,10,NA,60,0,Yes,Exact,2,100,Nonlinear,Clonal,Mono,1,Zostera marina
9,eelgras; herbivore waterbirds; plant herbivore interactions; eelgrass consumption; eelgrass biomass; eelgrass cover; waterbird consumption,Observation,0,Chemical,Eutrophication,Irregular,57.033,9.617,Denmark,NA,NA,NA,-0.25 to -2,Shallow,Subtidal,324,NA,NA,10460000,48450000,68800000,NA,84,NA,No,Estimated,NA,80,Linear,Seed,Mixed,3,"Zostera marina, Ruppia maritima, Ruppia cirrhosa"
10,Zostera marina; Disturbance; Clam harvesting; Recovery; Seedling; Life history,Observation,5,Physical,Shellfishing - Clams,Square,37.35,122.58,China,30.4,32.6,31.5,0.5 to -1,NA,Both,13.2,November,11,NA,NA,2.25,6,100,NA,Yes,Exact,9,100,Linear,Seed,Mono,1,Zostera marina
11,Zostera nigricaulis; Port Phillip Bay; Sexual reproduction; Asexual reproduction; Resilience; Spatial scales; Heterozostera nigricaulis,Experiment,3,Physical,"Grazing, Boat propeller scarring",Circle,-38.03,144.79,Australia,NA,NA,NA,-0.5,Shallow,Subtidal,15.3,November,11,65000000,65000000,0.07,0.94,100,0,Yes,Exact,2,100,Linear,Clonal,Mono,1,Zostera nigricaulis
11,,Experiment,3,Physical,"Grazing, Boat propeller scarring",Circle,-38.03,144.79,Australia,NA,NA,NA,-0.5,Shallow,Subtidal,15.3,November,11,65000000,65000000,0.07,0.94,100,0,Yes,Exact,8,100,Linear,Clonal,Mono,1,Zostera nigricaulis
11,,Experiment,3,Physical,"Grazing, Boat propeller scarring",Circle,-38.03,144.79,Australia,NA,NA,NA,-0.5,Shallow,Subtidal,15.3,November,11,65000000,65000000,0.07,0.94,100,0,Yes,Exact,13,100,Linear,Clonal,Mono,1,Zostera nigricaulis
12,,Observation,4,Light,Light availability via dredging,Irregular,-21.25,149.317,Australia,NA,NA,NA,-10 to -18,Deep,Subtidal,108,May,5,NA,NA,NA,NA,100,NA,Yes,Exact,8,100,NA,NA,Mixed,2,"Halophila decipiens, Halophila spinulosa"
13,,Experiment,5,Physical,"Grazing, Boat propeller scarring",Circle,-33.108,151.565,Australia,NA,NA,NA,-0.5,Shallow,Subtidal,15.2,October,10,NA,NA,0.07,0.94,100,NA,Yes,Exact,5,100,Linear,Clonal,Mixed,5,"Zostera muelleri, Posidonia australis, Zostera nigricaulis, Halophila ovalis, Halophila decipiens"
13,,Experiment,5,Physical,"Grazing, Boat propeller scarring",Circle,-33.108,151.565,Australia,NA,NA,NA,-0.5,Shallow,Subtidal,15.2,October,10,NA,NA,0.07,0.94,100,NA,Yes,Exact,5,100,Linear,Clonal,Mixed,5,"Zostera muelleri, Posidonia australis, Zostera nigricaulis, Halophila ovalis, Halophila decipiens"
13,,Experiment,5,Physical,"Grazing, Boat propeller scarring",Circle,-33.108,151.565,Australia,NA,NA,NA,-0.5,Shallow,Subtidal,15.2,October,10,NA,NA,0.07,0.94,100,NA,Yes,Exact,9,100,Linear,Clonal,Mixed,5,"Zostera muelleri, Posidonia australis, Zostera nigricaulis, Halophila ovalis, Halophila decipiens"
13,,Experiment,5,Physical,"Grazing, Boat propeller scarring",Circle,-33.108,151.565,Australia,NA,NA,NA,-0.5,Shallow,Subtidal,15.2,October,10,NA,NA,0.07,0.94,100,NA,Yes,Exact,16,100,Linear,Clonal,Mixed,5,"Zostera muelleri, Posidonia australis, Zostera nigricaulis, Halophila ovalis, Halophila decipiens"
14,Allocation following disturbance; Clonal plant life-history traits; Phenotypic plasticity; Compensatory growth; Compounded perturbations,Experiment,10,Physical,Physical disturbance - shoot damage and shoot removal,Square,46.471,-124.021,USA,22,27,24.5,0.3,NA,Intertidal,37.5,July,7,31500000,31500000,4,8,100,8,Yes,Exact,24,100,Linear,Both,Mono,1,Zostera marina
14,,Experiment,10,Physical,Physical disturbance - shoot damage and shoot removal,Square,46.471,-124.021,USA,22,27,24.5,-0.2,Shallow,Subtidal,37.5,July,7,31500000,31500000,4,8,100,8,Yes,Exact,24,100,Linear,Both,Mono,2,Zostera marina
15,,Experiment,6,Physical,Waterfowl grazing or uprooting by hydrodynamic stress,Square,53.467,6.75,Netherlands,NA,NA,NA,NA,NA,Intertidal,5.1,June,6,NA,NA,0.0625,1,100,0,Yes,Exact,2,100,Linear,Clonal,Mono,1,Zostera noltii
15,,Experiment,6,Physical,Waterfowl grazing or uprooting by hydrodynamic stress,Square,53.467,6.75,Netherlands,NA,NA,NA,NA,NA,Intertidal,5.1,June,6,NA,NA,0.25,2,100,0,Yes,Exact,3,100,Nonlinear,Clonal,Mono,1,Zostera noltii
15,,Experiment,6,Physical,Waterfowl grazing or uprooting by hydrodynamic stress,Square,53.467,6.75,Netherlands,NA,NA,NA,NA,NA,Intertidal,5.1,June,6,NA,NA,1,4,100,0,No,NA,NA,80,NA,Clonal,Mono,1,Zostera noltii
16,Dredging; Light reduction; Recovery; Seagrass; Amphibolis griffithii; Australia,Experiment,5,Light,Light availability via dredging,Square,-30.309,115.007,Australia,NA,NA,NA,-4.5,Shallow,Subtidal,29.4,March,3,60000,60000,4.5,9,72,3,Yes,Exact,10,100,NA,NA,Mono,1,Amphibolis griffithii
16,,Experiment,5,Light,Light availability via dredging,Square,-30.309,115.007,Australia,NA,NA,NA,-4.5,Shallow,Subtidal,29.4,March,3,60000,60000,4.5,9,82,NA,No,NA,NA,NA,NA,NA,Mono,1,Amphibolis griffithii
16,,Experiment,5,Light,Light availability via dredging,Square,-30.309,115.007,Australia,NA,NA,NA,-4.5,Shallow,Subtidal,29.4,March,3,60000,60000,4.5,9,100,NA,No,NA,NA,NA,NA,NA,Mono,1,Amphibolis griffithii
16,,Experiment,5,Light,Light availability via dredging,Square,-30.309,115.007,Australia,NA,NA,NA,-4.5,Shallow,Subtidal,23.3,September,9,60000,60000,4.5,9,72,3,Yes,Exact,10,100,NA,NA,Mono,1,Amphibolis griffithii
16,,Experiment,5,Light,Light availability via dredging,Square,-30.309,115.007,Australia,NA,NA,NA,-4.5,Shallow,Subtidal,23.3,September,9,60000,60000,4.5,9,82,NA,No,NA,NA,NA,NA,NA,Mono,1,Amphibolis griffithii
16,,Experiment,5,Light,Light availability via dredging,Square,-30.309,115.007,Australia,NA,NA,NA,-4.5,Shallow,Subtidal,23.3,September,9,60000,60000,4.5,9,100,NA,No,NA,NA,NA,NA,NA,Mono,1,Amphibolis griffithii
17,Seagrass; Eelgrass; Widgeon grass; Zostera marina L.; Ruppia maritima L.; Eutrophication; Nutrient reduction; Estuary; Natural recovery,Observation,4,Chemical,Eutrophication,Irregular,41.317,-72.017,USA,25.5,32,28.8,-1,Shallow,Subtidal,147.1,NA,NA,0,240000,240000,NA,99,NA,Yes,Estimated,180,NA,Nonlinear,NA,Mixed,2,"Zostera marina, Ruppia maritima"
19,Intertidal; Physical disturbance; Recolonization; Zostera marina,Experiment,4,Physical,Physical disturbance - boating related,Square,44.619,-124.013,USA,NA,NA,NA,0,NA,Intertidal,34.5,February,2,985000,985000,4,16,100,0,Yes,Exact,24,100,Linear,Clonal,Mono,1,Zostera marina
19,,Experiment,4,Physical,Physical disturbance - boating related,Square,44.619,-124.013,USA,NA,NA,NA,0.25,NA,Intertidal,34.5,February,2,985000,985000,4,16,100,10,Yes,Exact,32,100,Linear,Clonal,Mono,1,Zostera marina
19,,Observation,0,Physical,Propeller scar & blowhole from boat hull grounding,Irregular,44.619,-124.013,USA,NA,NA,NA,NA,NA,Subtidal,72,NA,NA,NA,NA,150,352,100,NA,Yes,Estimated,84,97,Linear,Clonal,Mono,1,Zostera marina
20,anthropogenic impacts; dredging; fine sediment; sea grass; South Africa; spoil disposal,Observation,0,Light,Light availability via dredging,Irregular,-28.811,32.088,South Africa,20,35,27.5,NA,NA,Subtidal,38.5,April - November,4,111875,285000,85625,NA,NA,NA,Yes,Estimated,18,100,Linear,Clonal,Mono,1,Zostera capensis
22,Zostera marina; common eelgrass; wasting disease; long-term change; accurate mapping; France,Observation,57,Disease,Wasting disease,Irregular,48.872,-1.83,France,NA,NA,NA,>2 to <-4,NA,Both,948,NA,NA,7630000,3432000,7026000,NA,92,NA,No,NA,NA,45,Linear,NA,Mono,1,Zostera marina
23,recolonization; red tide algal bloom; eelgrass; Zostera Marina; die-off seed bank; seedling,Observation,0,Light,Light availability and suffication via HAB,Irregular,35.103,128.533,South Korea,NA,NA,NA,-2.5,Shallow,Subtidal,29.5,May,5,100000,100000,100000,NA,100,NA,Yes,Exact,10,100,Nonlinear,Seed,Mono,1,Zostera marina
26,Zostera noltii; clam harvesting; sexual reproduction; maturation scale; disturbance; flowering,Experiment,6,Physical,Shellfishing - Clams,Square,37.03,-7.819,Portugal,NA,NA,NA,-1.5 to 0.7,NA,Intertidal,12.2,July,7,NA,NA,1,4,57,NA,Yes,Exact,12,100,NA,NA,Mono,1,Zostera noltii
27,seagrasses; sewage outfall; recolonisation; Posidonia,Observation,0,Chemical,"Eutropication - Sewage Outfall, Epiphytic growth",Irregular,-34.85,138.417,Australia,NA,NA,NA,-12,Deep,Subtidal,300,NA,NA,NA,NA,3650000,NA,100,NA,No,Estimated,NA,33,NA,Both,Mixed,5,"Halophila australis, Posidonia angustifolia, Posidonia sinuosa, Zostera tasmanica, Amphibolis antarctica"
28,seagrass; recovery; succession; colonisation; regrowth; clonal,Experiment,36,NA,NA,Square,-16.767,145.967,Australia,NA,NA,NA,-2 to -8,Shallow,Subtidal,26.4,September,9,190000,190000,0.25,2,100,0,Yes,Exact,10,100,Linear,Clonal,Mixed,5,"Halodule uninervis, Cymodocea rotundata, Cymodocea serrulata, Syringodium isoetifolium, Halophila ovalis"
28,,Experiment,36,NA,NA,Square,-16.767,145.967,Australia,NA,NA,NA,-2 to -8,Shallow,Subtidal,26.4,September,9,190000,190000,0.25,2,100,0,Yes,Exact,7,100,Linear,Clonal,Mixed,5,"Halodule uninervis, Cymodocea rotundata, Cymodocea serrulata, Syringodium isoetifolium, Halophila ovalis"
29,,Observation,0,Physical,Physical damage - barge grounding,Rectangle,16.433,119.917,Philippines,NA,NA,NA,-0.83 to -1.14,Shallow,Subtidal,32.5,November,11,1200,450,1200,160,99,0,No,NA,NA,37.5,NA,Clonal,Mixed,7,"Thalassia hemprichii, Enhalus acoroides, Cymodocea rotundata, Syringodium isoetifolium, Halodule uninervis, Cymodocea serrulata, Halophila ovalis"
30,seagrass; Zostera marina; aerial photography; long-term change; recolonization; wasting disease; area distribution,Observation,5,Disease,Wasting disease,Irregular,56.253,9.212,Denmark,26,26,26,-2.5,Shallow,Subtidal,612,NA,NA,667000,160000,667000,NA,100,NA,No,NA,NA,28,Linear,Seed,Mono,1,Zostera marina
30,,Observation,5,Disease,Wasting disease,Irregular,56.253,9.212,Denmark,26,26,26,-2,Shallow,Subtidal,540,NA,NA,1030000,180000,1030000,NA,100,NA,No,NA,NA,29,Linear,Seed,Mono,1,Zostera marina
30,,Observation,5,Disease,Wasting disease,Irregular,56.253,9.212,Denmark,24.5,24.5,24.5,-3,Shallow,Subtidal,552,NA,NA,302000,5000,302000,NA,100,NA,No,NA,NA,20,Linear,Seed,Mono,1,Zostera marina
30,,Observation,5,NA,Stocastic Events,Irregular,56.253,9.212,Denmark,11,11,11,-3,Shallow,Subtidal,504,NA,NA,3966000,1000000,NA,NA,NA,NA,No,NA,NA,31,Linear,Seed,Mono,1,Zostera marina
30,,Observation,5,NA,Stocastic Events,Irregular,56.253,9.212,Denmark,13,25,19,-2,Shallow,Subtidal,552,NA,NA,2831000,800000,2831000,NA,100,NA,No,NA,NA,45,Linear,Seed,Mono,1,Zostera marina
31,seagrass recolonisation; anoxic crises; Zostera marina; Thau lagoon,Observation,0,Chemical,Anoxia,Rectangle,43.395,3.608,France,33,40,36.5,-4.2,Shallow,Subtidal,19.2,July,7,500,500,500,90,100,NA,Yes,Exact,9,100,Linear,Both,Mono,1,Zostera marina
32,,Observation,0,Chemical,Waste water effluent,Circle,43.203,5.363,France,NA,NA,NA,-15,Deep,Subtidal,156,NA,NA,3875,5675,5000,NA,100,36,No,Estimated,288,36,Nonlinear,Clonal,Mono,1,Posidonia oceanica
34,monitoring; recovery; regrowth; reproduction; seagrass; succession; Zostera capricorni,Experiment,36,NA,NA,Square,-16.88,145.778,Australia,NA,NA,NA,NA,NA,Intertidal,12.2,September,9,NA,NA,0.25,2,100,NA,Yes,Exact,12,100,Linear,Clonal,Mixed,4,"Zostera capricorni, Cymodocea serrulata, Halodule uninervis, Halophila ovalis"
34,,Experiment,36,NA,NA,Square,-16.88,145.778,Australia,NA,NA,NA,NA,NA,Intertidal,12.2,September,9,NA,NA,0.25,2,100,NA,Yes,Exact,12,100,Linear,Clonal,Mixed,4,"Zostera capricorni, Cymodocea serrulata, Halodule uninervis, Halophila ovalis"
35,coastal zone; community composition; ecosystem disturbance; seagrass; Enhalus acoroides; Thalassia hemprichii; restoration ecology,Experiment,6,Physical,"Physical - typhoon blowouts, grazing",Square,16.406,119.929,Philippines,NA,NA,NA,-0.5 to -3,Shallow,Subtidal,26.4,July,7,NA,NA,0.25,2,100,2,No,Estimated,84,30,Nonlinear,Clonal,Mixed,6,"Enhalus acoroides, Thalassia hemprichii, Cymodocea rotundata, Syringodium isoetifolium, Halodule uninervis, Halophila ovalis"
35,,Experiment,6,Physical,"Physical - typhoon blowouts, grazing",Square,16.406,119.929,Philippines,NA,NA,NA,-0.5 to -3,Shallow,Subtidal,26.4,July,7,NA,NA,0.25,2,100,0,Yes,Exact,21,100,Nonlinear,Clonal,Mixed,6,"Enhalus acoroides, Thalassia hemprichii, Cymodocea rotundata, Syringodium isoetifolium, Halodule uninervis, Halophila ovalis"
35,,Experiment,6,Physical,"Physical - typhoon blowouts, grazing",Square,16.406,119.929,Philippines,NA,NA,NA,-0.5 to -3,Shallow,Subtidal,26.4,July,7,NA,NA,0.25,2,100,0,No,Estimated,72,65,Nonlinear,Clonal,Mixed,6,"Enhalus acoroides, Thalassia hemprichii, Cymodocea rotundata, Syringodium isoetifolium, Halodule uninervis, Halophila ovalis"
35,,Experiment,6,Physical,"Physical - typhoon blowouts, grazing",Square,16.406,119.929,Philippines,NA,NA,NA,-0.5 to -3,Shallow,Subtidal,26.4,July,7,NA,NA,0.25,2,100,0,No,Estimated,120,50,Nonlinear,Clonal,Mixed,6,"Enhalus acoroides, Thalassia hemprichii, Cymodocea rotundata, Syringodium isoetifolium, Halodule uninervis, Halophila ovalis"
35,,Experiment,6,Physical,"Physical - typhoon blowouts, grazing",Square,16.406,119.929,Philippines,NA,NA,NA,-0.5 to -3,Shallow,Subtidal,26.4,July,7,NA,NA,0.25,2,100,0,No,Estimated,120,50,Nonlinear,Clonal,Mixed,6,"Enhalus acoroides, Thalassia hemprichii, Cymodocea rotundata, Syringodium isoetifolium, Halodule uninervis, Halophila ovalis"
36,seagrass; reproduction; recovery,Observation,3,Physical,Grazing,Irregular,-27.371,153.433,Australia,32.5,40,36.3,NA,NA,Intertidal,19.2,January,1,NA,NA,NA,NA,100,NA,Yes,Exact,7,100,Linear,Both,Mixed,3,"Zostera capricorni, Halophila ovalis, Halodule uninervis"
37,Abrolhos Marine National Park; Anchor; Brazil; Density; Halodule wrightii; Macroalgae; Seagrass; Standing stock,Experiment,28,Physical,Anchoring (anthropogenic),Square,-17.967,-38.71,Brazil,36,37,36.5,-2.7,Shallow,Subtidal,13.2,March,3,NA,29710,0.25,2,100,NA,Yes,Exact,9,100,Linear,Clonal,Mono,1,Halodule wrightii
38,Indicators for ecosystem health; resilience; leaf area index; recovery; Zostera marina; Temperate systems; Timing of disturbancs,Experiment,15,Physical,"Grazing, Boat anchor, shellfishing",Circle,37.35,122.58,China,NA,NA,NA,NA,NA,Intertidal,1,May,5,NA,NA,0.07,0.94,NA,NA,No,Exact,NA,5,NA,NA,Mono,1,Zostera marina
38,,Experiment,15,Physical,"Grazing, Boat anchor, shellfishing",Circle,37.35,122.58,China,NA,NA,NA,NA,NA,Intertidal,1,June,6,NA,NA,0.07,0.94,NA,NA,No,Exact,NA,0,NA,NA,Mono,1,Zostera marina
38,,Experiment,15,Physical,"Grazing, Boat anchor, shellfishing",Circle,37.35,122.58,China,NA,NA,NA,NA,NA,Intertidal,1,June,6,NA,NA,0.07,0.94,NA,NA,No,Exact,NA,15,NA,NA,Mono,1,Zostera marina
38,,Experiment,15,Physical,"Grazing, Boat anchor, shellfishing",Circle,37.35,122.58,China,NA,NA,NA,NA,NA,Intertidal,1,July,7,NA,NA,0.07,0.94,NA,NA,No,Exact,NA,1,NA,NA,Mono,1,Zostera marina
38,,Experiment,15,Physical,"Grazing, Boat anchor, shellfishing",Circle,37.041,122.57,China,NA,NA,NA,NA,NA,Intertidal,1,May,5,NA,NA,0.07,0.94,NA,NA,No,Exact,NA,20,NA,NA,Mono,1,Zostera marina
